Partei: Nr.;Partei: Kurzbezeichnung;Partei: Name;These: Nr.;These: Titel;These: These;Position: Position;Position: Begründung
1;SPD;Sozialdemokratische Partei Deutschlands;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme zu;Die SPD bekennt sich klar zur diplomatischen, militärischen, finanziellen und humanitären Unterstützung der Ukraine im Kampf gegen den völkerrechtswidrigen russischen Angriffskrieg – so lange wie nötig. Die Ukraine muss mögliche Verhandlungen auf Augenhöhe mit Russland führen können. Zur Verteidigung der Ukraine und zur Sicherung des Friedens in Europa unterstützt die SPD mit Besonnenheit und Augenmaß. Für uns gilt, dass Deutschland und die NATO nicht selbst zur Kriegspartei werden dürfen.
2;CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme zu;Unser Ziel ist Frieden in Europa. Die Ukraine verteidigt auch uns, denn fällt die Ukraine, droht ein russischer Angriff auf weitere Länder. Daher unterstützen wir die Ukraine mit diplomatischen, finanziellen und humanitären Mitteln sowie mit Waffenlieferungen. Sie muss ihr Selbstverteidigungsrecht ausüben können. Unser Ziel ist ein Friedensprozess, der von der Ukraine aus einer Position der Stärke geführt werden kann.
3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme zu;Millionen Ukrainer*innen verteidigen Tag für Tag ihr Leben, ihre Freiheit und den Frieden in Europa gegen die brutale Aggression von Putins Russland. Dabei stehen wir fest an ihrer Seite - mit diplomatischer, finanzieller, humanitärer und militärischer Unterstützung. Die Ukraine muss in der Lage sein, sich zu verteidigen und eine starke Position für einen möglichen Friedensprozess sicherzustellen. Das ist auch unser bester Eigenschutz hier im Herzen Europas.
4;FDP;Freie Demokratische Partei;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme zu;Unsere Unterstützung für die Ukraine darf nicht an Geld oder Waffenlieferungen scheitern. Denn die Ukraine verteidigt auch unsere Freiheit. Daher fordern wir u.a. die Lieferung von Taurus und weiterer Waffensysteme an die Ukraine. Wir setzen uns zudem für eine dauerhafte und gerecht verteilte Finanzierung der Unterstützung der Ukraine ein. Ziel ist die Wiederherstellung der territorialen Integrität der Ukraine sowie ihr Beitritt zur EU und NATO.
5;AfD;Alternative für Deutschland;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme nicht zu;Wir fordern von allen Kriegsparteien eine Einstellung der Kampfhandlungen und die Aufnahme von Friedensgesprächen ohne Vorbedingungen. Die Alternative für Deutschland versteht sich als Partei, in der Diplomatie und friedliche Konfliktbewältigung vorrangig sind.
6;Die Linke;Die Linke;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme nicht zu;Militärische Unterstützung hat den Krieg und das Leid nicht beendet. Wir unterstützen diplomatische Initiativen, die Russland und die Ukraine an den Verhandlungstisch bringen. Ziel muss ein Waffenstillstand und ein gerechter Frieden sein.  
7;SSW;Südschleswigscher Wählerverband;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme zu;Wir wollen, dass der Bund in seiner finanziellen, militärischen, politischen und humanitären Unterstützung der Ukraine nicht nachlässt. Diese Unterstützung muss in enger Abstimmung mit unseren europäischen und internationalen Partnern erfolgen. Der Angriffskrieg Russlands auf die Ukraine ist völkerrechtswidrig und bedroht die europäische Friedensordnung. Wir verurteilen die russische Invasion aufs Schärfste und lehnen die Instrumentalisierung von Minderheiten im Zusammenhang des Krieges ab.
8;FREIE WÄHLER;FREIE WÄHLER;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme zu;Die Ukraine ist in jüngerer Zeit Opfer einer beispiellosen Aggression durch Russland geworden, für die es keine Rechtfertigung gibt. Gegen aggressive Diktatoren ist Appeasement heute so falsch, wie es das 1938 war. Unsere Unterstützung der Ukraine mit allem, was nötig ist, um den Krieg nicht zu verlieren, ist daher richtig. Modernste Waffentechnik gehört selbstverständlich dazu.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme zu;Die Ukraine muss weiterhin gegen die völkerrechtswidrige Aggression Russlands unterstützt werden. Die Souveränität und territoriale Integrität der Ukraine als demokratischer Bündnispartner gehört bewahrt. Zudem soll Deutschland hier ein klares Signal gegen imperialistische Bestrebungen setzen, um einen Schritt weiter in Richtung Stabilität und Frieden zu gehen.
10;dieBasis;Basisdemokratische Partei Deutschland;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme nicht zu;Deutsche Waffenlieferungen in die Ukraine lehnen wir nachdrücklich ab! Krieg bringt schreckliches Leid für alle und muss als Mittel zur Durchsetzung politischer Ziele überall und ein für alle Mal geächtet werden! Die Bundesregierung sollte sich als neutraler Vermittler dafür einsetzen, alle Beteiligten an den Verhandlungstisch zurückzubringen. In den Verhandlungen sind alle Seiten zu hören und ernst zu nehmen, um auf dieser Grundlage eine für alle tragfähige friedliche Lösung zu finden.
