,AgendaItemTitle,AgendaItemNumber,Order,AgendaItemDate,ProtocolId,DateOnly,ProtocolDate,LegislaturePeriod,Number,SessionTitle,AgendaItemsCount,MongoId,Id
0,Eröffnung der Sitzung durch den Alterspräsidenten,1,1,2017-10-24T11:05:00,76c3b183-81d7-4cd0-ee48-08da0c32b602,2017-10-24,2017-10-24T00:00:00,19,1,1. Sitzung,6,6205403f03957565211832cb,76c3b183-81d7-4cd0-ee48-08da0c32b602
1,Beschlussfassung über die Geschäftsordnung,2,2,2017-10-24T11:25:00,76c3b183-81d7-4cd0-ee48-08da0c32b602,2017-10-24,2017-10-24T00:00:00,19,1,1. Sitzung,6,6205403f03957565211832cb,76c3b183-81d7-4cd0-ee48-08da0c32b602
2,Wahl des Präsidenten,3,3,2017-10-24T12:05:00,76c3b183-81d7-4cd0-ee48-08da0c32b602,2017-10-24,2017-10-24T00:00:00,19,1,1. Sitzung,6,6205403f03957565211832cb,76c3b183-81d7-4cd0-ee48-08da0c32b602
3,Amtsübernahme durch den Präsidenten mit Ansprache,4,4,2017-10-24T13:15:00,76c3b183-81d7-4cd0-ee48-08da0c32b602,2017-10-24,2017-10-24T00:00:00,19,1,1. Sitzung,6,6205403f03957565211832cb,76c3b183-81d7-4cd0-ee48-08da0c32b602
4,Festlegung der Zahl der Stellvertreter des Präsidenten,5,5,2017-10-24T13:40:00,76c3b183-81d7-4cd0-ee48-08da0c32b602,2017-10-24,2017-10-24T00:00:00,19,1,1. Sitzung,6,6205403f03957565211832cb,76c3b183-81d7-4cd0-ee48-08da0c32b602
5,Wahl der Stellvertreter des Präsidenten,6,6,2017-10-24T13:40:00,76c3b183-81d7-4cd0-ee48-08da0c32b602,2017-10-24,2017-10-24T00:00:00,19,1,1. Sitzung,6,6205403f03957565211832cb,76c3b183-81d7-4cd0-ee48-08da0c32b602
6,Nationalhymne,7,7,2017-10-24T17:00:00,76c3b183-81d7-4cd0-ee48-08da0c32b602,2017-10-24,2017-10-24T00:00:00,19,1,1. Sitzung,6,6205403f03957565211832cb,76c3b183-81d7-4cd0-ee48-08da0c32b602
7,Befragung der Bundesregierung,1,1,2018-01-31T14:30:00,9830dca7-f0e1-4906-ee3f-08da0c32b602,2018-01-31,2018-01-31T00:00:00,19,10,10. Sitzung,3,6205403f03957565211832c2,9830dca7-f0e1-4906-ee3f-08da0c32b602
8,Fragestunde,2,2,2018-01-31T15:20:00,9830dca7-f0e1-4906-ee3f-08da0c32b602,2018-01-31,2018-01-31T00:00:00,19,10,10. Sitzung,3,6205403f03957565211832c2,9830dca7-f0e1-4906-ee3f-08da0c32b602
9,Aktuelle Stunde zu einer europäischen Bankenunion,ZP 1,3,2018-01-31T17:10:00,9830dca7-f0e1-4906-ee3f-08da0c32b602,2018-01-31,2018-01-31T00:00:00,19,10,10. Sitzung,3,6205403f03957565211832c2,9830dca7-f0e1-4906-ee3f-08da0c32b602
