speakerId,firstName,lastName,party,fraction
11001235,Wolfgang,Kubicki,FDP,FDP
11001938,Dr. Wolfgang,Schäuble,CDU,
11002190,Alterspräsident Dr. Hermann,Otto Solms,FDP,
11003124,Hans-Peter,Friedrich,CSU,CDU/CSU
11003206,Petra,Pau,DIE LINKE.,Die Linke
11003212,Claudia,Roth,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11003218,Carsten,Schneider,SPD,SPD
11003541,Michael,Grosse-Brömer,CDU,CDU/CSU
11003764,Britta,Haßelmann,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11003790,Jan,Korte,DIE LINKE.,
11003820,Thomas,Oppermann,SPD,SPD
11004023,Marco,Buschmann,FDP,FDP
11004662,Bernd,Baumann,AfD,AfD
11002733,Michael,Meister,CDU,
11002738,Hans,Michelbach,CSU,CDU/CSU
11003033,Norbert,Barthle,CDU,
11003422,Ingrid,Arndt-Brauer,SPD,SPD
11003493,Kerstin,Andreae,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11003547,Anja,Hajduk,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11003628,Ole,Schröder,CDU,
11003646,Antje,Tillmann,CDU,CDU/CSU
11003837,Gerhard,Schick,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11003856,Florian,Toncar,FDP,FDP
11003858,Alexander,Ulrich,DIE LINKE.,Die Linke
11003870,Brigitte,Zypries,SPD,
11004263,Katharina,Dröge,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004289,Metin,Hakverdi,SPD,SPD
11004333,Christian,Kühn,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004695,Tino,Chrupalla,AfD,AfD
11004705,Christian,Dürr,FDP,FDP
11004732,Timon,Gremmels,SPD,SPD
11004751,Heiko,Heßenkemper,Plos,AfD
11004778,Stefan,Keuter,AfD,AfD
11004792,Rainer,Kraft,AfD,AfD
11004817,Fabio,De Masi,DIE LINKE.,Die Linke
11004824,Falko,Mohrs,SPD,SPD
11004832,Sepp,Müller,CDU,CDU/CSU
11004857,Filiz,Polat,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004902,Bettina,Stark-Watzinger,FDP,FDP
11004912,Hermann-Josef,Tebroke,CDU,CDU/CSU
11004921,Markus,Töns,SPD,SPD
11004932,Harald,Weyel,AfD,AfD
11002003,Christian,Schmidt,CSU,CDU/CSU
11002765,Norbert,Röttgen,CDU,CDU/CSU
11003197,Kersten,Steinke,DIE LINKE.,Die Linke
11003746,Sevim,Dağdelen,DIE LINKE.,Die Linke
11003753,Klaus,Ernst,DIE LINKE.,Die Linke
11003756,Kai,Gehring,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11003792,Sylvia,Kotting-Uhl,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11003881,Omid,Nouripour,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004041,Nicole,Gohlke,DIE LINKE.,Die Linke
11004050,Jürgen,Hardt,CDU,CDU/CSU
11004124,Aydan,Özoğuz,SPD,SPD
11004150,Stefan,Schwartze,SPD,SPD
11004182,Johann David,Wadephul,CDU,CDU/CSU
11004222,Manfred,Todtenhausen,FDP,FDP
11004229,Hagen,Reinhold,FDP,FDP
11004241,Stephan,Albani,CDU,CDU/CSU
11004256,Karl-Heinz,Brunner,SPD,SPD
11004323,Anja,Karliczek,CDU,CDU/CSU
11004324,Kerstin,Kassner,DIE LINKE.,Die Linke
11004390,Corinna,Rüffer,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004397,Udo,Schiefner,SPD,SPD
11004441,Marian,Wendt,CDU,CDU/CSU
11004688,Birke,Bull-Bischoff,DIE LINKE.,Die Linke
11004694,Anna,Christmann,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004710,Wiebke,Esdar,SPD,SPD
11004711,Michael,Espendiller,AfD,AfD
11004722,Götz,Frömming,AfD,AfD
11004735,Armin-Paulus,Hampel,AfD,AfD
11004740,Martin,Hebner,AfD,AfD
11004744,Marc,Henrichmann,CDU,CDU/CSU
11004764,Johannes,Huber,AfD,
11004798,Alexander Graf,Lambsdorff,FDP,
11004806,Bernhard,Loos,CSU,CDU/CSU
11004809,Heiko,Maas,SPD,
11004812,Lothar,Maier,AfD,AfD
11004819,Pascal,Meiser,DIE LINKE.,Die Linke
11004822,Mario,Mieruch,LKR,
11004826,Siemtje,Möller,SPD,SPD
11004845,Josef,Oster,CDU,CDU/CSU
11004876,Nils,Schmid,SPD,SPD
11004898,Detlev,Spangenberg,AfD,AfD
11001023,Ulla,Jelpke,DIE LINKE.,Die Linke
11003034,Dietmar,Bartsch,DIE LINKE.,Die Linke
11003050,Lothar,Binding,SPD,SPD
11003132,Katrin,Göring-Eckardt,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11003196,Andrea,Nahles,SPD,SPD
11003213,Michael,Roth,SPD,
11003255,Peter,Weiß,CDU,CDU/CSU
11003440,Kerstin,Griese,SPD,SPD
11003512,Marco,Bülow,Die PARTEI,
11003516,Alexander,Dobrindt,CSU,CDU/CSU
11003556,Gabriele,Hiller-Ohm,SPD,SPD
11003574,Günter,Krings,CDU,
11003578,Markus,Kurth,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11003715,Lars,Klingbeil,SPD,SPD
11003763,Heike,Hänsel,DIE LINKE.,Die Linke
11003797,Karl,Lauterbach,SPD,
11003802,Michael Georg,Link,FDP,FDP
11003804,Katja,Mast,SPD,SPD
11003815,Carsten,Müller,CDU,CDU/CSU
11003865,Elisabeth,Winkelmeier-Becker,CDU,
11004004,Peter,Aumer,CSU,CDU/CSU
11004012,Matthias W.,Birkwald,DIE LINKE.,Die Linke
11004021,Ralph,Brinkhaus,CDU,CDU/CSU
11004034,Michael,Frieser,CSU,CDU/CSU
11004063,Oliver,Kaczmarek,SPD,SPD
11004065,Stefan,Kaufmann,CDU,CDU/CSU
11004073,Axel,Knoerig,CDU,CDU/CSU
11004075,Pascal,Kober,FDP,FDP
11004097,Christian,Lindner,FDP,FDP
11004104,Karin,Maag,CDU,CDU/CSU
11004106,Agnieszka,Brugger,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004107,Hans-Georg,von der Marwitz,CDU,CDU/CSU
11004110,Mathias,Middelberg,CDU,CDU/CSU
11004114,Niema,Movassat,DIE LINKE.,Die Linke
11004117,Beate,Müller-Gemmeke,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004123,Konstantin,von Notz,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004169,Stephan,Stracke,CSU,CDU/CSU
11004192,Matthias,Zimmer,CDU,CDU/CSU
11004221,Beate,Walter-Rosenheimer,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004247,Katarina,Barley,SPD,SPD
11004248,Matthias,Bartke,SPD,SPD
11004255,Franziska,Brantner,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004257,Lars,Castellucci,SPD,SPD
11004264,Hansjörg,Durz,CSU,CDU/CSU
11004267,Saskia,Esken,SPD,SPD
11004270,Johannes,Fechner,SPD,SPD
11004276,Thorsten,Frei,CDU,CDU/CSU
11004280,Ursula,Groden-Kranich,CDU,CDU/CSU
11004295,Dirk,Heidenblut,SPD,SPD
11004304,Alexander,Hoffmann,CSU,CDU/CSU
11004321,Ralf,Kapschack,SPD,SPD
11004325,Gabriele,Katzmarek,SPD,SPD
11004352,Jan,Metzler,CDU,CDU/CSU
11004365,Wilfried,Oellers,CDU,CDU/CSU
11004383,Alexander,Radwan,CSU,CDU/CSU
11004386,Daniela,De Ridder,SPD,SPD
11004389,Martin,Rosemann,SPD,SPD
11004398,Jana,Schimke,CDU,CDU/CSU
11004410,Rainer,Spiering,SPD,SPD
11004427,Volker,Ullrich,CSU,CDU/CSU
11004443,Kai,Whittaker,CDU,CDU/CSU
11004605,Christian,Petry,SPD,SPD
11004614,Angelika,Glöckner,SPD,SPD
11004617,Ronja,Kemmer,CDU,CDU/CSU
11004653,Gökay,Akbulut,DIE LINKE.,Die Linke
11004665,Canan,Bayram,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004666,Jens,Beeck,FDP,FDP
11004676,Jens,Brandenburg,FDP,FDP
11004678,Stephan,Brandner,AfD,AfD
11004696,Joana,Cotar,AfD,AfD
11004697,Carl-Julius,Cronenberg,FDP,FDP
11004698,Gottfried,Curio,AfD,AfD
11004703,Anke,Domscheit-Berg,Plos,Die Linke
11004714,Peter,Felser,AfD,AfD
11004715,Susanne,Ferschl,DIE LINKE.,Die Linke
11004724,Alexander,Gauland,AfD,AfD
11004727,Albrecht,Glaser,AfD,AfD
11004738,Roland,Hartwig,AfD,
11004741,Thomas,Heilmann,CDU,CDU/CSU
11004761,Leif-Erik,Holm,AfD,AfD
11004763,Reinhard,Houben,FDP,FDP
11004765,Ulla,Ihnen,FDP,FDP
11004767,Fabian,Jacobi,AfD,AfD
11004770,Ingmar,Jung,CDU,CDU/CSU
11004772,Uwe,Kamann,Plos,
11004781,Norbert,Kleinwächter,AfD,AfD
